상품명,가격
판매완료,합정 스포애니 헬스 + 필라테스 회원권 양도
합정 스포애니 헬스 + 필라테스 회원권 양도,"150,000원"
판매완료,뚝섬역 노블휘트니스 골프&헬스 6개월 양도 합니다(양도금5만원포함)
뚝섬역 노블휘트니스 골프&헬스 6개월 양도 합니다(양도금5만원포함),"550,000원"
뚝섬역 노블휘트니스 헬스권(296일) 양도권 팝니다,"180,000원"
베이스 알파 보스턴 백 (헬스가방) 판매합니다,"5,000원"
헬스포츠 바랑에르돔 8-10 (우레탄창 포함),"1,100,000원"
헬스온 노벅스 모기퇴치기,"8,000원"
(헬스)아디다스 무릎보호대 새것,"15,000원"
비비필라테스 성수 그룹권 양도합니다,"320,000원"
자이글온 오로라 심부 온열기,"1,450,000원"
바스통 왁스 자켓 올리브 L,"280,000원"
판매완료,"pt20회+회원권3개월 양도(회당 정상가 110,000원)"
"pt20회+회원권3개월 양도(회당 정상가 110,000원)","700,000원"
아디다스 아디제로 EVO SL 블랙 (러닝화) 260,"120,000원"
판매완료,2단 사물함 A급 15개 무료나눔 선착순
2단 사물함 A급 15개 무료나눔 선착순,나눔
서울숲역 필라테스 양도,"430,000원"
숀리 스테퍼,"30,000원"
·,빅브로짐 회원권 양도
빅브로짐 회원권 양도,"90,000원"
판매완료,뚝섬 노블휘트니스 회원권 양도 (120일 / 약4개월)
뚝섬 노블휘트니스 회원권 양도 (120일 / 약4개월),"170,000원"
제이엠포츈 가정용 역기세트,"20,000원"
만두카 프로 요가 매트+폼롤러 팝니다,"80,000원"
나이키 메트콘 트레이닝화 블랙,"40,000원"
KEYTEC XTR X-30 실내 자전거,"171,000원"
온러닝 클라우드몬스터 265,"140,000원"
이고진 런닝머신 E9,"130,000원"
VANS 반스 어센틱 블루 230,"32,000원"
스트렝스라이프 벤치프레스,"100,000원"
아식스 젤 카야노 Tr v4 스니커즈 230,"120,000원"
필터 (1),"[판매중] 성수역 1번출구 헬스장 회원권 양도 9개월 (~11/24) 운동복, 락커 포함O ✨"
"[판매중] 성수역 1번출구 헬스장 회원권 양도 9개월 (~11/24) 운동복, 락커 포함O ✨","350,000원"
키네틱피플 남성 헬스 나시 L,"20,000원"
·,데일리피트니스 헬스+PT 이용권 양도원하시면 말씀해주세요
데일리피트니스 헬스+PT 이용권 양도원하시면 말씀해주세요,"12,345원"
스포틀러 스텝밀 가정용 헬스 운동기구,"250,000원"
·,헬스장고무메트 장당 1500원구매 400장 구매합니다
헬스장고무메트 장당 1500원구매 400장 구매합니다,"1,500원"
·,[성수 휘트니스 피플 우먼] 여성전용 헬스장 PT 회원권 양도합니다 (6회)
[성수 휘트니스 피플 우먼] 여성전용 헬스장 PT 회원권 양도합니다 (6회),"300,000원"
Supplies Pro Series 헬스 스트랩,"15,000원"
스포애니 성수 헬스 이용권 양도 (4개월),"90,000원"
프로그 락조 헬스,나눔
에르고기어 가죽 리프팅 역도벨트 15cm 헬스벨트,"15,000원"
판매완료,성수동 라이프짐 헬스장 회원권 양도
성수동 라이프짐 헬스장 회원권 양도,"250,000원"
성수동 헬스 13개월 양도(라커비 내드려요),"210,000원"
헬스장 (3개월) 짐아서 이용권 양도 2025년 6월 5일종료,"60,000원"
성수역 빌드업 헬스장 이용권 팔아요,"180,000원"
라이프짐 성수 헬스장 골프연습장,"60,000원"
헬스장 시티짐 성수점 1년이용권 양도합니나,"300,000원"
FMonster 각도조절 헬스 벤치,"40,000원"
판매완료,왕십리 포시즌 헬스 회원권
왕십리 포시즌 헬스 회원권,"200,000원"
데일리피티니스성수/헬스징양도,"250,000원"
판매완료,성수 헬스장 회원권 팝니당
성수 헬스장 회원권 팝니당,"70,000원"
판매완료,데일리피트니스 헬스 회원권 양도합니다
데일리피트니스 헬스 회원권 양도합니다,"130,000원"
빌드업 피트니스 헬스장 이용권 양도,"220,000원"
데일리피트니스 성수점 헬스장 양도,"120,000원"
판매완료,☆헬스 회원권 시티짐 성수점☆
☆헬스 회원권 시티짐 성수점☆,"370,000원"
남자 헬스 가방 팔아요!,"5,000원"
헬스용 고무 매트 (50x50cm) 운동매트 홈짐 소음방지,"4,000원"
스쿼트 랙 헬스 운동기구,"30,000원"
성수 데일리 피트니스 헬스 PT 12개월 이용권,"350,000원"
판매완료,데일리피트니스 헬스장 성수점 회원권 양도합니다
데일리피트니스 헬스장 성수점 회원권 양도합니다,"250,000원"
판매완료,성수동 라이프짐 헬스 회원권 양도 12/31까지 가능
성수동 라이프짐 헬스 회원권 양도 12/31까지 가능,"250,000원"
마장역 헬스장 라온휘트니스&필라테스 마장점,"299,000원"
어게인짐 건대입구역점 헬스 이용권 336일 양도,"350,000원"
헬스용 고무 매트 (50x50cm) 운동매트 홈짐 소음방지 (9장 남음),"3,800원"
스포애니 헬스이용권 양도(4개월),"90,000원"
헬스케어 마케팅 인사이트,"3,000원"
EGOJIN 헬스케어 사이클 706R,"90,000원"
요가 매트 수납 정리함 이동식 헬스용품 보관함,"13,000원"
전완근 운동용 추감기 헬스 운동기구,"6,000원"
⚡️대폭할인⚡️엑사이더 좌식형 접이식 헬스싸이클 실내자전거 (새상품),"99,000원"
헬스보이짐 건대스타시티몰(헬스+골프) 양도합니다.,"500,000원"
"성수 헬스장, 휘트니스피플 우먼 성수 (헬스권/PT권 25회 양도)","875,000원"
(새책)헬스케어 이노베이션,"4,000원"
새상품 / wsf 그립테크 리프팅패드 헬스 스트랩,"9,000원"
·,빌드업피트니스 성수 회원권 양도
빌드업피트니스 성수 회원권 양도,"160,000원"
갤럭시 워치5 44mm 화이트 풀박스,"85,000원"
MKAS 리프팅 스트랩 카키색,"2,000원"
미사용 새상품 IMOZAN 무브먼트 클로젯 B 브라탑 이모잔브라탑,"60,000원"
나이키 줌X 스트릭플라이 런닝화 285,"40,000원"
하빈져 니 랩 블랙/레드,"20,000원"
판매완료,🚨[양도비 지원] 성수 데일리피트니스 양도~8/26 (라커 포함)
🚨[양도비 지원] 성수 데일리피트니스 양도~8/26 (라커 포함),"200,000원"
애플 에어팟 프로 1세대 옛날 충전 단자,"50,000원"
아령2개 판매해요,"20,000원"
이동식 전신 거울,"30,000원"
<빌드업 피트니스> 성수역점 6개월권 양도,"250,000원"
판매완료,스포애니 성수역점 PT 양도 12회 36만원 (회당 3만원)
스포애니 성수역점 PT 양도 12회 36만원 (회당 3만원),"360,000원"
삼성 갤럭시 워치5 44mm 블랙 lte,"40,000원"
이동식 전신 거울 (블랙),"30,000원"
엑사이더 실내 런닝 바이크 & 매트,"51,000원"
성수역 빌드업피트니스 11개월 양도,"333,000원"
전기온수기,"200,000원"
LEKI 헬스/사이클 반장갑,"25,000원"
본투윈 b2 백팩 헬스 축구 운동가방,"60,000원"
빌드업 피트니스 성수 pt42회 헬스장 6개월 양도,"2,000,000원"
Sky Line 가정용 헬스 자전거,나눔
판매완료,(나눔) 오래된 헬스 웨이트 벤치 프레스
(나눔) 오래된 헬스 웨이트 벤치 프레스,나눔
성수역 3번출구 3분거리 헬스장 양도 (4.5개월),"150,000원"
판매완료,헬스장 회원권 양도해요💪
헬스장 회원권 양도해요💪,"330,000원"
판매완료,성수역 빌드업피트니스 헬스장 회원권 양도 340일(마지막 가격내림)
성수역 빌드업피트니스 헬스장 회원권 양도 340일(마지막 가격내림),"300,000원"
짐타임 헬스장 6개월 양도,"200,000원"
판매완료,오하운GYM 장한평점 헬스장 회원권 양도
오하운GYM 장한평점 헬스장 회원권 양도,"250,000원"
헬스용품,"38,000원"
헬스장용 사이클판매,"500,000원"
데일리피트니스 PT 성수점 26년 7월까지 헬스권 양도합니다,"150,000원"
성수동 BODY101 헬스장 양도(~26.01.31),"210,000원"
EDTC 헬스 바닥 매트 2.5cm 18개,"50,000원"
헬스벤치 평벤치,"10,000원"
헬스포츠 캠핑 텐트 발할 팝니다,"1,000,000원"
성수역 빌드업피트니스 헬스장 양도합니다,"230,000원"
휘트니스베이 그룹 필라테스37회 헬스 약 5개월 이용권,"330,000원"
헬스장 고무매트 에버롤 중고 싸게처분,"140,000원"
피플휘트니스 우먼 성수점 헬스장(117일 + 운동복 포함),"30,000원"
판매완료,어린이대공원역 필라테스베이 (필라테스 + 헬스장)
어린이대공원역 필라테스베이 (필라테스 + 헬스장),"200,000원"
헬스장용 런닝머신4대,"2,200,000원"
헬스보이 덜덜이 팔아요,"50,000원"
"플렉스복싱(복싱,킥복싱,주짓수)+헬스 3개월권 양도합니다","300,000원"
luxwear 룩스웨어 요가 필라테스 헬스 운동복 상의 반팔티 인디핑크,1원
BAPE 카모 더플백 1개 헬스가방,"33,000원"
이고진 헬스 평벤치,"10,000원"
헬스앤뷰티 HNB 쉐이크 시나몬피칸 & 베노프 초코,"6,000원"
뚝섬) 노블 휘트니스 골프+헬스+운동복+락카 양도,"250,000원"
헬스용 리프트복압벨트,"10,000원"
헬스보이짐&필라걸&골프인 선릉점 12개월 골프 양도,"1,200,000원"
헬스 벨트,"5,000원"
헬스 벨트,"3,000원"
"멀티 튜빙밴드, 헬스","4,000원"
룰루레몬 swiftly tech 반팔 6 새상품,"51,000원"
[화이트데이 가능] 조선팰리스 호텔 마스터스룸 75,"750,000원"
나이키 기능성 드라이핏 엘리먼트 하프집 (사선포켓/스카치) XXL 그레이색/회색,"27,000원"
나이키 드라이핏 긴팔 티셔츠 로얄 블루,"14,000원"
On 클라우드 러닝화 블랙 230,"72,000원"
아디다스 퀘스타 플로우 NXT 검정 275mm,"18,000원"
유니클로 블랙 후드집업 XL,1원
판매완료,2.3리터 물병 나눔합니다
2.3리터 물병 나눔합니다,나눔
실내 자전거 운동기구,나눔
이고진 실내자전거,"50,000원"
판매완료,성수역 빌드업피트니스 141일 회원권 양도
성수역 빌드업피트니스 141일 회원권 양도,"50,000원"
삼성 갤럭시 워치4 44mm 블랙,"85,000원"
빌드업피트니스 성수역점 3개월권 양도합니다.,"150,000원"
이고진 스핀 바이크 옐로우,"135,000원"
우영미 블레이저 48사이즈,"500,000원"
가구 이동 기구,"12,000원"
On 온러닝 클라우드서퍼 255mm 박스있음,"130,000원"
플러그피트니스 무게조절덤벨 24kg 2개,"120,000원"
여성전문 휘트니스피플 우먼 구디점 PT 6회 양도,"200,000원"
위아짐 군자점 6개월 양도,"200,000원"
나이키 에어 줌 페가수스 41 SE 245mm,"50,000원"
덤벨 세트 + 거치대,"20,000원"
판매완료,빌드업 피트니스 성수점 회원권
빌드업 피트니스 성수점 회원권,"150,000원"
푸마 포에버런 275 사이즈,"50,000원"
쉬크 SCHIEK 2004 리프팅 헬스 벨트,"45,000원"
제이엠포춘 가정용 헬스장 역기 세트,"20,000원"
사물함 락카 헬스장 골프장 사우나 다이얼키 번호키 매립형,"100,000원"
폴댄스/헬스/요가복/수영복 가능 셔링 수영복 반바지 L새상품,"5,000원"
헬스보이짐 장안점 피티 6회권 양도,"150,000원"
데카트론 헬스 스트랩 블랙 장갑,"20,000원"
[미개봉] 헬스벨트 M (105cm),"8,000원"
🇯🇵일본 나이키 나고야 시티 마라톤 2017 한정판 반팔 DRI-FIT 운동 요가 헬스 짐 복,"9,000원"
헬스 싸이클,나눔
군자 헬스장 5개월 양도,"96,000원"
판매완료,헬스장 회원권 양도
헬스장 회원권 양도,"190,000원"
엑사이더 가정용 헬스 자전거 다이어트 운동 홈트,나눔
요가 스틱 필라테스 헬스 홈트,나눔
쓰리짐 헬스 이용권 양도 4개월,"130,000원"
헬스 허리 운도할 수 있습니다,나눔
판매완료,"헬스 랙, 원판, 덤벨 팝니다 (낱개 구매 가능)"
"헬스 랙, 원판, 덤벨 팝니다 (낱개 구매 가능)","70,000원"
은성헬스빌 입식싸이클 V-301,"100,000원"
판매완료,에이블짐 헬스 회원권 1개월 양도
에이블짐 헬스 회원권 1개월 양도,"29,000원"
시티짐 군자점 145일+락커포함 헬스장,"80,000원"
HEAD 헬스 자전거,"50,000원"
판매완료,송정동 헬스장 회원권 양도합니다(6개월+@ / 총 20만원)
송정동 헬스장 회원권 양도합니다(6개월+@ / 총 20만원),"200,000원"
판매완료,에이블짐 어린이대공원점 헬스장 이용권(310일/OT6회)
에이블짐 어린이대공원점 헬스장 이용권(310일/OT6회),"350,000원"
성수역 빌드업피트니스 헬스장 양도합니다 ( 26년 8월 17일까지 ),"270,000원"
성수역 빌드업 피트니스 헬스 양도,"70,000원"
헬스 스트랩 팝니다,"18,000원"
멜킨 철봉 헬스기구 팝니다.,"30,000원"
짐아서 피트니스 헬스 이용권 양도합니다,"27,000원"
접이식 인클라인 벤치 프레스 운동기구 헬스 홈트 다이어트,"35,000원"
머슬H휘트니스 헬스장 이용권(군자점),"230,000원"
판매완료,5kg 헬스 원판 2개 일괄
5kg 헬스 원판 2개 일괄,"14,000원"
성수역1번출구 빌드업피트니스 헬스장 양도 +무료 PT포함,"181,000원"
조립식 덤벨 무게 조절 덤벨 20kg 바벨 커넥터 아령 홈트 헬스,"20,000원"
본투윈 머슬핏 3사이즈 새상품 차콜 헬스 반팔,"30,000원"
헬스타운 싯업보드,"35,000원"
은성헬스빌 거꾸리,"10,000원"
리프팅 헬스 스트랩 핑크 새상품,"10,000원"
"핫슈트 여성용 포인트픽스 러닝 G 헬스 땀복자켓 PJK0118, XL","8,000원"
나이키 베이퍼플라이3 245,"108,000원"
멜킨스포츠 육각 덤벨 세트 6kg 8kg 10kg+가정용 철봉 무료로 드립니다.,"98,000원"
판매완료,위아짐 군자점 회원권 양도 (3개월)
위아짐 군자점 회원권 양도 (3개월),"120,000원"
"[S급] 2월 출시 고급형 스텝퍼, 멜킨 스텝밀(가정용 천국의계단)","220,000원"
아차산역 스포애니 PT 13회 양도합니다 ! 정가 114만 -> 55만,나눔
FROG 파워랙 프리랙 스쿼트랙,나눔
(1회착용) 아식스 런닝화 225,"20,000원"
필라테스 양도합니다,"100,000원"
갤럭시 워치8 클래식 46mm 풀박스,"300,000원"
나이키 에어 조던1 로우 OG 275,"54,000원"
멜킨 하프랙 파워랙 홈짐 풀세트,"500,000원"
나이키 메트콘 285,"25,000원"
·,6만원 브로제이 얼굴인식 키오스크
6만원 브로제이 얼굴인식 키오스크,"60,000원"
판매완료,빌드업피트니스 성수점 315일(운동복 포함) 신규회원 양도
빌드업피트니스 성수점 315일(운동복 포함) 신규회원 양도,"290,000원"
비브람 파이브핑거스 V-트레인 2.0,"110,000원"
사파웰스케어 리무진 안마의자,"1,400,000원"
성수 빌드업 피트니스 양도합니다 (~ 26년 5월 12일까지),"270,000원"
인바디 다이얼 체중계 H20,"150,000원"
언더아머 애퍼리션 운동화 240,"50,000원"
성수 빌드업 피트니스 양도합니다 (~ 26년 8월 17일까지),"290,000원"
로말레오4 265 팝니다,"130,000원"
갤럭시 워치8 40mm 미개봉 새상품,"260,000원"
필라베이&휘트니스베이 (화양리)양도합니다,"300,000원"
필터 (1),답십리역 시티짐 헬스장 회원권 양도합니다
답십리역 시티짐 헬스장 회원권 양도합니다,"200,000원"
·,답십리역 헬스장24시 시티짐 회원권 양도
답십리역 헬스장24시 시티짐 회원권 양도,"200,000원"
답십리역 시티짐 헬스장 PT 23회 반값 이하(회당 3.5)에 양도,"805,000원"
·,범핏 헬스장 회원권 양도합니다
범핏 헬스장 회원권 양도합니다,"238,000원"
예약중,에이블짐 헬스 회원권 120일 (한양대점)
에이블짐 헬스 회원권 120일 (한양대점),"119,000원"
더바디피트니스 pt22회 헬스권 2개월 양도합니다,"891,000원"
·,PT 2회 체험 2만원🔥 헬스 3일 무료 (등록 고민이면 체험부터!)
PT 2회 체험 2만원🔥 헬스 3일 무료 (등록 고민이면 체험부터!),"20,000원"
헬스장 롤러 마사지기 돌돌이,"220,000원"
헬스라인 가정용 철봉 턱걸이 풀업바 팝니다,"9,500원"
대현 헬스케어 폴리코사놀 플러스 20mg 60정,나눔
[미시착 새상품]로그피트니스 정크 빅뱅 해드밴드 로그 헤드벤드 rogue 크로스핏 런닝 헬스 요가,"36,000원"
답십리역 바로앞 헬스장 1년권+운동복 양도해요!! 양도비x,"310,000원"
답십리 시티짐 헬스 이용권 10개월 양도,"300,000원"
판매완료,턱걸이 치닝디핑 무료나눔(풀업.딥스.헬스)
턱걸이 치닝디핑 무료나눔(풀업.딥스.헬스),나눔
헬스 벨트,나눔
판매완료,Eunsung SP-7200 헬스 실내자전거 무료나눔
Eunsung SP-7200 헬스 실내자전거 무료나눔,나눔
장한평 필라테스(22회)&헬스권,"120,000원"
아이앤지짐 답십리점 헬스권양도합니다(8개월 남음),"180,000원"
판매완료,답십리역 범핏 헬스장 10개월 회원권
답십리역 범핏 헬스장 10개월 회원권,"200,000원"
판매완료,답십리역 시티짐 헬스장 11개월 회원권 양도
답십리역 시티짐 헬스장 11개월 회원권 양도,"330,000원"
판매완료,시티짐 답십리점 헬스 회원권
시티짐 답십리점 헬스 회원권,"250,000원"
판매완료,"장한평역 헬스장 회원권 양도 9만원 (110일, 운동복+락커 포함)"
"장한평역 헬스장 회원권 양도 9만원 (110일, 운동복+락커 포함)","90,000원"
어트루짐 답십리역점 헬스장 한달권 양도,"70,000원"
판매완료,(회원권양도) 답십리 아이앤지짐 헬스장 25년 1월까지(약 8.5개월)
(회원권양도) 답십리 아이앤지짐 헬스장 25년 1월까지(약 8.5개월),"150,000원"
헬스PT 17회 판매,"300,000원"
자마이카 휘트니스 종로점 헬스 5개월 양도,"350,000원"
버닝타임짐 헬스장 답십리점 양도,"100,000원"
판매완료,스포애니 신설동역점 11개월 헬스장 회원권
스포애니 신설동역점 11개월 헬스장 회원권,"320,000원"
헬스장 스포애니 프로 양도,"450,000원"
판매완료,더바디피트니스 장안점 헬스장 회원권 양도
더바디피트니스 장안점 헬스장 회원권 양도,"100,000원"
판매완료,답십리 스포애니 헬스 회원권 25년12월7일까지
답십리 스포애니 헬스 회원권 25년12월7일까지,"300,000원"
판매완료,장한평역 헬스장 회원권 양도
장한평역 헬스장 회원권 양도,"70,000원"
판매완료,에이블짐 용두역점 헬스회원권 양도합니다.
에이블짐 용두역점 헬스회원권 양도합니다.,"180,000원"
아크로짐 외대점 헬스권 양도,"48,000원"
답십리 아이앤지짐 헬스권12개월(락커포함) 양도,"300,000원"
시티짐 답십리점 헬스장 6개월,"220,000원"
헬스 고무 매트 5장 묶음 판매,"30,000원"
범핏휘트니스 헬스장 PT 양도,"440,000원"
판매완료,스포애니 헬스 회원권 (4개월)
스포애니 헬스 회원권 (4개월),"100,000원"
답십리역 범핏피트니스 헬스 PT 31회 양도,"870,000원"
어트루짐 헬스 11개월 이용권,"215,000원"
판매완료,고덕역 헬스장 콤마짐 회원권 양도합니다 (~9.27)
고덕역 헬스장 콤마짐 회원권 양도합니다 (~9.27),"130,000원"
군자역 헬스장 바디퍼포먼스짐 양도합니다 (7개월+운동복+라커),"310,000원"
장한평역 8번출구 더바디피트니스 헬스양도,"255,000원"
더바디 피트니스 장안점 헬스장 이용권 양도. 쿨거래시 네고 가능!!,"250,000원"
헬스장+운동복+사물함 8개월 지점 변경도 가능합니다!,"250,000원"
"장한평 더바디 휘트니스 헬스장(248일, 락커포함) 양도","230,000원"
아차산 스포애니 헬스장 멤버십 300일(10개월) 양도,"160,000원"
"장한평 더바디 휘트니스 헬스장(248일, 락커포함) 양도","250,000원"
더바디 피트니스 장안점 헬스장 이용권 양도합니다,"170,000원"
판매완료,"풀업,스쿼트,벤치프레스 다 되는 기구 및 원판, 바벨, 덤벨 헬스기구 팝니다."
"풀업,스쿼트,벤치프레스 다 되는 기구 및 원판, 바벨, 덤벨 헬스기구 팝니다.","40,000원"
장한평역 헬스장 더바디피트니스 1개월 양도합니다,"48,000원"
헬스 운동기구 싯업보드,"72,000원"
타이거 밸런스 헬스 스트랩 블랙,"15,000원"
답십리/용답역 아이엔지짐 헬스 양도 (헬스 6개월 +옷),"150,000원"
판매완료,더바디피트니스 장안점 헬스장 회원권 7개월
더바디피트니스 장안점 헬스장 회원권 7개월,"280,000원"
카딜로 헬스벨트 310dl xs 구형 (9홀),"180,000원"
[헬스이용권] 답십리역 어투르짐 10개월 양도,"255,000원"
필터 (1),답십리역 헬스장24시 시티짐 회원권 양도
·,데이원짐 헬스장 회원권 양도(8개월 정도)
데이원짐 헬스장 회원권 양도(8개월 정도),"320,000원"
"가정용 헬스기구, 헬스스트림 일립티컬 머신","60,000원"
위아짐 헬스&PT 군자점 pt11회 양도,"350,000원"
강변슈퍼짐 휘트니스 헬스 8개월 (옷수건),"240,000원"
쉴드 헬스 스트랩,"8,000원"
"OXIZEN 헬스머신 / 펙덱플라이,숄더프레스 (핀머신)","800,000원"
실내 헬스장에서 잠깐 신은 새제품급 푸마 소프트폼 네이비 운동화 런닝화 265mm,"20,000원"
(PT회당5만) 강변역 헬스장 웨스트짐 PT양도 4회,"200,000원"
비타 중대형 헬스후프,"10,000원"
슈퍼짐 헬스장 양도합니다,"200,000원"
개구리 조절식 덤벨 홈트 헬스,"300,000원"
·,아크로짐 구의점 24시 새해맞이 헬스 7일 + PT2회 무료나눔🍀
아크로짐 구의점 24시 새해맞이 헬스 7일 + PT2회 무료나눔🍀,나눔
·,헬스장 회원권 양도(더 이상 안내림
헬스장 회원권 양도(더 이상 안내림,"632,000원"
·,대원헬스랩 잔티젠 다이어트
대원헬스랩 잔티젠 다이어트,"10,000원"
아차산역 헬스장 휴먼짐 PT양도,"840,000원"
나이키핼스반바지,"20,000원"
은성헬스빌 V301 실내자전거,"50,000원"
슈퍼짐 (강변역 도보 7분) GX+헬스 5개월 양도,"340,000원"
홈트 헬스 운동기구,"200,000원"
·,"헬스 원판, 범퍼 플레이트 45lbs(20kg) 판매합니다"
"헬스 원판, 범퍼 플레이트 45lbs(20kg) 판매합니다","50,000원"
구의동 헬스장 PT 양도,"1,507,000원"
헬스포츠 라인스피엘 슈퍼라이트3 판매,"650,000원"
아이큐에어 공기청정기 헬스프로 250,"720,000원"
헬스 스트랩,"9,000원"
·,대원헬스랩 인지 기억력 PS 징코
대원헬스랩 인지 기억력 PS 징코,"5,000원"
·,대원헬스랩 전립 파워 쏘팔메토
대원헬스랩 전립 파워 쏘팔메토,"5,000원"
·,대원헬스랩 초임계 알티지 오메가3 미니520
대원헬스랩 초임계 알티지 오메가3 미니520,"5,000원"
M 여성 헬스 코르셋,"9,000원"
나이키 반바지 S 라벤더 운동복 런닝 헬스,"12,000원"
·,헬스 원판 1.5kg 6개
헬스 원판 1.5kg 6개,"12,000원"
·,대원헬스랩 눈건강 루테인 지아잔틴 아스타잔틴 플러스 15g
대원헬스랩 눈건강 루테인 지아잔틴 아스타잔틴 플러스 15g,"6,000원"
새상품) 유니클로 에어리즘 레깅스 S 블랙 런닝 헬스 필라테스 운동복,"7,000원"
아디다스 여성 반팔 티셔츠 S 사이즈 (등산 필라테스 헬스 클라이밍 운동복),"12,000원"
[새제품] XEXYMIX 젝시믹스 여성 핑크 반팔 티셔츠 스몰 사이즈 (필라테스 헬스 클라이밍 운동복),"9,000원"
판매완료,검정색 원판 헬스 웨이트
검정색 원판 헬스 웨이트,나눔
헬스헬퍼 맥스컷 다이어트 핏 3.1,"20,000원"
유사나헬스팩 포장 안뜯은거 4박스,"75,000원"
헬스 복압벌트,나눔
구의점 스포애니 헬스 양도해요~,"200,000원"
뉴바디 헬스후프,나눔
빌리버짐 구의점 헬스장 양도 11개월,"270,000원"
"휘트니스피플 우먼 구의역 헬스장 양도 (97일 + 운동복,라커)","100,000원"
·,대원헬스랩 관절 콘드로이친 뮤코다당단백 1200
대원헬스랩 관절 콘드로이친 뮤코다당단백 1200,"8,000원"
엑사이더 헬스매트(중) 팝니다.,나눔
몸가짐 구의점 헬스(3개월)+필라테스(22회) 양도,"250,000원"
"실내 자전거, 헬스 자전거 (은성 자전거c301) 판매해요",나눔
은성 헬스빌 허리돌리기 운동기구,나눔
켈틀러 PASO 200 헬스 실내자전거,나눔
판매완료,무료나눔! 헬스원 HERA 7000 런닝머신
무료나눔! 헬스원 HERA 7000 런닝머신,나눔
헬스장 양도,"50,000원"
슈퍼짐 헬스장 피티20회+ 헬스장이용권,"1,000,000원"
강변역 헬스장 더케이짐 양도(~8/4),"70,000원"
베르사그립 프로 퍼플 헬스 스트랩,"40,000원"
빌리버짐 헬스권 양도합니다!,"200,000원"
휘트니스트리 헬스장 양도권 반값!!,"150,000원"
헬스플라자 케틀벨 28kg,"57,000원"
빌리버짐 헬스장 양도,"270,000원"
판매완료,빌리버짐 헬스장 구의점 회원권 양도합니다.
빌리버짐 헬스장 구의점 회원권 양도합니다.,"150,000원"
샤인 휘트니스 헬스장 양도,"39,000원"
렛풀다운 헬스머신 싸게 가져가세요,"900,000원"
헬스헬퍼 맥스컷 프로 ⭐️크롬 4박스 (새상품)⭐️,"30,000원"
하빈져 헬스스트랩 + 허리벨트 <미사용>,"39,000원"
포워드 스미스 머신 헬스기구,"1,200,000원"
제로투히어로 프로&익스트림 헬스 스트랩,"19,000원"
·,사인휘트니스 헬스 회원권
사인휘트니스 헬스 회원권,"390,000원"
[새상품] [반택무료] 아식스 젤 인도어화 탁구화 배드민턴화 스쿼시화 헬스화 운동화 240 운동화 245 나이키,"39,000원"
건대 헬스보이짐 골프 프로님 레슨권 [30회 보유],"850,000원"
건대입구 근처 헬스권 사요,"1,111원"
"피트니스피플 우먼 건대점 헬스장 이용권(락커+운동복) 양도, 4개월(3.18-7.17까지)","160,000원"
하빈져 헬스 스트랩,"5,000원"
휘트니스베이 헬스/필라테스 이용권,"480,000원"
바디픽셀 AI 머슬건 프로Z (헬스 운동 달리기 런닝 달리기 마라톤 요가 수영 스트레칭 등),"100,000원"
·,건대입구역 짐박스 헬스장 1년 회원권 양도해 주실분
건대입구역 짐박스 헬스장 1년 회원권 양도해 주실분,"200,000원"
나이키 메트콘 9 헬스화 트레이닝화,"85,000원"
·,타운케이 헬스&PT 건대점 회원권 양도합니다.
타운케이 헬스&PT 건대점 회원권 양도합니다.,"320,000원"
건대입구 맥스토탈피트니스 헬스장 양도 받습니다,"300,000원"
·,(건대)맥스토탈 헬스클럽 회원권양도
(건대)맥스토탈 헬스클럽 회원권양도,"220,000원"
파워헬스 에어 워커,"10,000원"
광동제약 헬스가드 코프리 새제품,"21,000원"
데상트 헬스 장갑 + 암밴드 블랙 새상품,"65,000원"
OXIZEN 멀티랙 헬스기구 옥시즌,"600,000원"
"배틀그라운드배그 지코인, 나이트 스토어 조끼, 헬스치킨세트 쿠폰, 한정판 키캡 (키보드캡)","30,000원"
헬스 스트랩 그립,"11,000원"
NINE STUDY 헬스 스트랩,"8,000원"
헬스러브 미니 폼롤러,"5,000원"
나이키 7부 레깅스 러닝헬스필라테스요가 레깅스,"13,000원"
판매완료,건대입구 24시 헬스장 어게인짐 회원권 양도합니다
건대입구 24시 헬스장 어게인짐 회원권 양도합니다,"300,000원"
판매완료,샤인휘트니스 어린이대공원역점 헬스장 회원권 양도
샤인휘트니스 어린이대공원역점 헬스장 회원권 양도,"130,000원"
라코스테 보스턴백 운동가방 헬스가방 여행가방 더플백,"15,000원"
판매완료,농협 헬스케어 건강한 배도라지스틱 미개봉 두박스 나눔
농협 헬스케어 건강한 배도라지스틱 미개봉 두박스 나눔,나눔
오쿠 헬스쿠킹 OC-8500 중탕기,"25,000원"
판매완료,2026년 귀여운 헬스 달력 나눔해요
2026년 귀여운 헬스 달력 나눔해요,나눔
헬스 멀티 웨이트 벤치,나눔
슈퍼짐 상봉점 헬스장 4개월,"130,000원"
판매완료,덤벨 헬스 운동 기구 나눔합니다
덤벨 헬스 운동 기구 나눔합니다,나눔
헬스가방 쓰실분,나눔
판매완료,나눔) 이고진 헬스체어
나눔) 이고진 헬스체어,나눔
BORNTOWIN 본투윈 헬스가방. 도시락가방,"10,000원"
판매완료,헬스자전거 엑사이더 중고 무료나눔
헬스자전거 엑사이더 중고 무료나눔,나눔
