상품명,가격
스포짐 종로점 헬스권 판매 180일 / 25만원 (라카 포함),"250,000원"
"종로자마이카 양도 - Full패키지 (헬스,필라,요가,사우나,골프,운동복,사물함 포함)","430,000원"
종로 자마이카 헬스+골프 급매(양도),"990,000원"
판매완료,SpoAny 헬스 종각점 pro회원권
SpoAny 헬스 종각점 pro회원권,"160,000원"
헬스+라커+사우나+GX+주말 전지점 이용등 이용권 양도(잔여기간: 8개월 이상),"650,000원"
스포짐 종로점 헬스장 이용권 (약 7.9개월) 양도 나무경영 추천,"360,000원"
자마이카 헬스장 이용권 양도,"600,000원"
[새상품] 헬스바지 런닝바지 테니스바지 자전거바지 등산바지,"11,900원"
엑사이더 하이엔드 런닝 바이크 EX460 서서타는 자전거 실내 스피닝 헬스 스핀 사이클,"130,000원"
판매완료,자마이카피트니스앤스파 종로점 헬스장 회원권 양도(피트니스+운동복+락커+스파/1년)
자마이카피트니스앤스파 종로점 헬스장 회원권 양도(피트니스+운동복+락커+스파/1년),"1,100,000원"
판매완료,자마이카피트니스 헬스골프 회원권 판매합니다
자마이카피트니스 헬스골프 회원권 판매합니다,"1,000,000원"
판매완료,"디팰리스 스포츠클럽 스크린 골프+1종목(헬스, 수영, 요가 택 1) 회원권+운동복(3.6개월) 판매"
"디팰리스 스포츠클럽 스크린 골프+1종목(헬스, 수영, 요가 택 1) 회원권+운동복(3.6개월) 판매","480,000원"
역도화 스쿼트화 헬스신발(새상품),"65,000원"
자메이카 피트니스 헬스장+ 골프100타석QED 8개월,"730,000원"
판매완료,자마이카골프100 아카데미 종로점 회원권(헬스+골프+스파+운동복) 7개월 양도
자마이카골프100 아카데미 종로점 회원권(헬스+골프+스파+운동복) 7개월 양도,"1,148,000원"
NIKE 나이키 헤리티지86 퓨추라 미국 스탠포드 대학교 볼캡 남녀공용 모자 빈티지 운동 헬스 여행 런닝 캡,"120,000원"
NIKE 나이키 빈티지 초레어 헤리티지86 오렌지/블루 볼캡 남녀공용 모자 퓨추라 운동 헬스 여행 등산 캡,"85,000원"
NIKE 나이키 헤리티지86 미국 코틀랜드 블랙 볼캡 모자 운동 헬스 빈티지 퓨추라 런닝 러닝 캡,"100,000원"
예약중,에이블짐 창신역점 헬스 회원권 양도 230일
에이블짐 창신역점 헬스 회원권 양도 230일,"200,000원"
발할텐트(헬스포츠)이너텐트X,"1,500,000원"
동묘앞역 베리짐 헬스장 10개월 반 양도합니다.,"190,000원"
[양도] 동대문 샤머니짐 헬스장 3개월,"153,000원"
